iter	RMSE
0	26.08044667
1	25.38053636
2	24.93257137
3	24.47054939
4	23.97005076
5	23.4592869
6	23.07925785
7	22.56484436
8	22.19306524
9	21.86950544
10	21.39052086
11	20.91679063
12	20.51873994
13	20.07566374
14	19.66369555
15	19.24620009
16	18.95072073
17	18.57728753
18	18.26723155
19	17.98601939
20	17.5684494
21	17.33846898
22	17.03606974
23	16.73877973
24	16.37356858
25	16.10741315
26	15.85583287
27	15.59995419
28	15.2368042
29	14.98053256
30	14.75980612
31	14.49468839
32	14.24490621
33	13.93798631
34	13.7473754
35	13.51102619
36	13.32384455
37	13.15471818
38	12.97597963
39	12.82763179
40	12.68523966
41	12.49531274
42	12.35148948
43	12.23317065
44	12.13116342
45	11.98787848
46	11.8210774
47	11.70698233
48	11.53024101
49	11.41467136
50	11.22517441
51	11.08420007
52	10.99539941
53	10.84732554
54	10.67769955
55	10.55967782
56	10.38927524
57	10.29370241
58	10.19867243
59	10.0475103
60	9.836252523
61	9.698534301
62	9.617857759
63	9.502853977
64	9.400666493
65	9.273318439
66	9.131505686
67	9.015426602
68	8.902894514
69	8.778233721
70	8.658134448
71	8.514121933
72	8.383932018
73	8.27247671
74	8.215249054
75	8.114614194
76	8.019037049
77	7.866558631
78	7.778818709
79	7.722553648
80	7.662586117
81	7.570040593
82	7.503278111
83	7.423962554
84	7.385661755
85	7.331022533
86	7.274815492
87	7.196965844
88	7.121910517
89	7.04271722
90	7.00441213
91	6.933726753
92	6.886071252
93	6.820003474
94	6.757444443
95	6.706385677
96	6.615594701
97	6.544277825
98	6.473027259
99	6.410554617
100	6.356211088
101	6.288544423
102	6.219819103
103	6.180543049
104	6.128428083
105	6.091699655
106	6.036457619
107	5.988558362
108	5.934459722
109	5.896396269
110	5.844643713
111	5.754016752
112	5.699209659
113	5.629264366
114	5.576921542
115	5.559424985
116	5.495354494
117	5.458694085
118	5.408387727
119	5.387074818
120	5.338403757
121	5.29636667
122	5.267514168
123	5.219761719
124	5.187962413
125	5.124495376
126	5.075187125
127	5.047191883
128	5.006450125
129	4.964568212
130	4.931054929
131	4.894522701
132	4.850606551
133	4.816916907
134	4.778913274
135	4.748332005
136	4.692497252
137	4.654505819
138	4.619189158
139	4.593468691
140	4.559139948
141	4.519195463
142	4.48398679
143	4.461519747
144	4.434542522
145	4.402846976
146	4.383166457
147	4.348907223
148	4.329815128
149	4.2863732
150	4.262354092
151	4.215986752
152	4.204569519
153	4.18081561
154	4.158873216
155	4.128868241
156	4.10920606
157	4.073813821
158	4.042975635
159	4.023388183
160	4.006541843
161	3.965691379
162	3.946628864
163	3.937737124
164	3.905999271
165	3.881048722
166	3.869335541
167	3.837350828
168	3.792497138
169	3.76526017
170	3.718104957
171	3.668594932
172	3.65877777
173	3.628417192
174	3.606363885
175	3.577743916
176	3.537779915
177	3.520942773
178	3.488491367
179	3.457193595
180	3.443531275
181	3.426327671
182	3.408529574
183	3.379167797
184	3.351569103
185	3.322485668
186	3.301455539
187	3.29736384
188	3.267432592
189	3.24128312
190	3.202609005
191	3.17343687
192	3.13915151
193	3.135906757
194	3.117334173
195	3.101014939
196	3.083686236
197	3.075280163
198	3.069092374
199	3.066019477
200	3.053798151
201	3.048762454
202	3.044654915
203	3.035783215
204	3.003449613
205	2.976592747
206	2.974006171
207	2.97156159
208	2.957312308
209	2.927009712
210	2.908266321
211	2.876575145
212	2.856564275
213	2.823387195
214	2.793220148
215	2.770292946
216	2.747590618
217	2.726225479
218	2.701002756
219	2.677598779
220	2.661906176
221	2.655642065
222	2.653620114
223	2.643510711
224	2.635275956
225	2.629379535
226	2.628137894
227	2.609102323
228	2.606406556
229	2.588133831
230	2.585102532
231	2.577730763
232	2.567016653
233	2.556530622
234	2.551274877
235	2.530178775
236	2.513367596
237	2.504264457
238	2.488181268
239	2.473255098
240	2.44984841
241	2.446354028
242	2.430630994
243	2.428780629
244	2.424810573
245	2.40852672
246	2.390491447
247	2.387317622
248	2.38554678
249	2.363139083
250	2.343814951
251	2.335446429
252	2.317799134
253	2.303455796
254	2.292758808
255	2.268518414
256	2.253138096
257	2.236787673
258	2.231618734
259	2.218638734
260	2.202339468
261	2.184204613
262	2.169744486
263	2.152428391
264	2.136502473
265	2.121161032
266	2.107803988
267	2.102924325
268	2.098310546
269	2.083033057
270	2.081506579
271	2.076361001
272	2.064151919
273	2.050417385
274	2.048243002
275	2.040551989
276	2.027121939
277	2.016851173
278	2.007387451
279	2.003011143
280	1.995973522
281	1.990888023
282	1.981025233
283	1.974552267
284	1.966949937
285	1.965821369
286	1.949009486
287	1.936267161
288	1.931450352
289	1.92742722
290	1.915498679
291	1.909601914
292	1.90011049
293	1.895128092
294	1.893434013
295	1.8916893
296	1.879795994
297	1.869224985
298	1.863998332
299	1.857552916
300	1.85573157
301	1.850327057
302	1.841109742
303	1.832888364
304	1.828367255
305	1.819346707
306	1.804683452
307	1.801008404
308	1.787603875
309	1.780220444
310	1.768654781
311	1.759121655
312	1.748996143
313	1.748142228
314	1.738587893
315	1.737804371
316	1.737115809
317	1.730990772
318	1.727559248
319	1.726819707
320	1.72341126
321	1.712327992
322	1.706676863
323	1.697134383
324	1.688552783
325	1.684998506
326	1.674097491
327	1.664314228
328	1.65314406
329	1.652424213
330	1.643624291
331	1.642570722
332	1.640192939
333	1.638032798
334	1.628791062
335	1.62043605
336	1.619159265
337	1.617889033
338	1.616037295
339	1.61431716
340	1.612974139
341	1.612345655
342	1.611757486
343	1.610332726
344	1.609866644
345	1.609269251
346	1.60220945
347	1.601645684
348	1.592404237
349	1.582589245
350	1.580810779
351	1.580383432
352	1.577923319
353	1.569755635
354	1.565021139
355	1.553182586
356	1.550150593
357	1.541301667
358	1.533374073
359	1.528654014
360	1.523193466
361	1.522671076
362	1.516987637
363	1.515789203
364	1.510081443
365	1.509585202
366	1.502920614
367	1.501907578
368	1.500295575
369	1.495537905
370	1.49514201
371	1.484279592
372	1.482505567
373	1.482062282
374	1.475996625
375	1.475123933
376	1.47078686
377	1.461789804
378	1.453544982
379	1.452709023
380	1.444393571
381	1.435002865
382	1.426730491
383	1.425782219
384	1.425166517
385	1.417815047
386	1.407660862
387	1.399567223
388	1.398765724
389	1.392182387
390	1.387252574
391	1.386593594
392	1.378497609
393	1.377808191
394	1.371104646
395	1.368970352
396	1.368498195
397	1.359956539
398	1.353022677
399	1.343429173
400	1.341315973
401	1.340741359
402	1.338044069
403	1.337731748
404	1.334065531
405	1.327229739
406	1.321059857
407	1.316209088
408	1.313682915
409	1.311776861
410	1.30500508
411	1.303650005
412	1.303338975
413	1.296949449
414	1.290171369
415	1.284120241
416	1.278332023
417	1.272892304
418	1.268421171
419	1.263131012
420	1.254694849
421	1.251229057
422	1.249271419
423	1.24152628
424	1.236345723
425	1.227697191
426	1.225613268
427	1.222140154
428	1.2190665
429	1.216943546
430	1.216610201
431	1.211649044
432	1.205397355
433	1.201031796
434	1.199679969
435	1.191876455
436	1.190736282
437	1.18406214
438	1.183360441
439	1.177187884
440	1.170525883
441	1.16559333
442	1.16425202
443	1.160280776
444	1.159715442
445	1.153854381
446	1.14765959
447	1.145876466
448	1.142637837
449	1.135570621
450	1.130470344
451	1.125716577
452	1.120674553
453	1.114745982
454	1.110289414
455	1.104686792
456	1.100377522
457	1.099874836
458	1.095995189
459	1.089991734
460	1.084310699
461	1.080918569
462	1.076831763
463	1.072038742
464	1.066890663
465	1.06301698
466	1.05741792
467	1.052303757
468	1.048640894
469	1.043983916
470	1.042303939
471	1.037412456
472	1.033776131
473	1.030583175
474	1.029202668
475	1.026909695
476	1.025612469
477	1.020487967
478	1.017374369
479	1.01603776
480	1.014705412
481	1.01280879
482	1.007987592
483	1.006940683
484	1.003731628
485	1.002424246
486	0.9982413421
487	0.9972444222
488	0.9967170482
489	0.9954496494
490	0.9912756095
491	0.9875461809
492	0.9861402127
493	0.9819125296
494	0.9805166855
495	0.9797201182
496	0.9749297431
497	0.9712816644
498	0.9689017274
499	0.965948505
